Year,Series,REF_AREA,SEX,AGE,Units,Value
2001,SH_HIV_INCD,,F,Y_GE50,PER_1000_UNINFECTED_POP,0.04
2002,SH_HIV_INCD,,F,Y_GE50,PER_1000_UNINFECTED_POP,0.03
2003,SH_HIV_INCD,,F,Y_GE50,PER_1000_UNINFECTED_POP,0.03
2004,SH_HIV_INCD,,F,Y_GE50,PER_1000_UNINFECTED_POP,0.03
2005,SH_HIV_INCD,,F,Y_GE50,PER_1000_UNINFECTED_POP,0.03
2006,SH_HIV_INCD,,F,Y_GE50,PER_1000_UNINFECTED_POP,0.02
2007,SH_HIV_INCD,,F,Y_GE50,PER_1000_UNINFECTED_POP,0.02
2008,SH_HIV_INCD,,F,Y_GE50,PER_1000_UNINFECTED_POP,0.02
2009,SH_HIV_INCD,,F,Y_GE50,PER_1000_UNINFECTED_POP,0.02
2010,SH_HIV_INCD,,F,Y_GE50,PER_1000_UNINFECTED_POP,0.01
2011,SH_HIV_INCD,,F,Y_GE50,PER_1000_UNINFECTED_POP,0.01
2012,SH_HIV_INCD,,F,Y_GE50,PER_1000_UNINFECTED_POP,0.01
2013,SH_HIV_INCD,,F,Y_GE50,PER_1000_UNINFECTED_POP,0.01
2014,SH_HIV_INCD,,F,Y_GE50,PER_1000_UNINFECTED_POP,0.01
2015,SH_HIV_INCD,,F,Y_GE50,PER_1000_UNINFECTED_POP,0.01
2016,SH_HIV_INCD,,F,Y_GE50,PER_1000_UNINFECTED_POP,0.01
2017,SH_HIV_INCD,,F,Y_GE50,PER_1000_UNINFECTED_POP,0.01
2018,SH_HIV_INCD,,F,Y_GE50,PER_1000_UNINFECTED_POP,0.01
2019,SH_HIV_INCD,,F,Y_GE50,PER_1000_UNINFECTED_POP,0.0
2000,SH_HIV_INCD,,F,Y15T24,PER_1000_UNINFECTED_POP,0.14
2001,SH_HIV_INCD,,F,Y15T24,PER_1000_UNINFECTED_POP,0.13
2002,SH_HIV_INCD,,F,Y15T24,PER_1000_UNINFECTED_POP,0.13
2003,SH_HIV_INCD,,F,Y15T24,PER_1000_UNINFECTED_POP,0.12
2004,SH_HIV_INCD,,F,Y15T24,PER_1000_UNINFECTED_POP,0.11
2005,SH_HIV_INCD,,F,Y15T24,PER_1000_UNINFECTED_POP,0.11
2006,SH_HIV_INCD,,F,Y15T24,PER_1000_UNINFECTED_POP,0.09
2007,SH_HIV_INCD,,F,Y15T24,PER_1000_UNINFECTED_POP,0.08
2008,SH_HIV_INCD,,F,Y15T24,PER_1000_UNINFECTED_POP,0.07
2009,SH_HIV_INCD,,F,Y15T24,PER_1000_UNINFECTED_POP,0.06
2010,SH_HIV_INCD,,F,Y15T24,PER_1000_UNINFECTED_POP,0.05
2011,SH_HIV_INCD,,F,Y15T24,PER_1000_UNINFECTED_POP,0.05
2012,SH_HIV_INCD,,F,Y15T24,PER_1000_UNINFECTED_POP,0.04
2013,SH_HIV_INCD,,F,Y15T24,PER_1000_UNINFECTED_POP,0.04
2014,SH_HIV_INCD,,F,Y15T24,PER_1000_UNINFECTED_POP,0.03
2015,SH_HIV_INCD,,F,Y15T24,PER_1000_UNINFECTED_POP,0.03
2016,SH_HIV_INCD,,F,Y15T24,PER_1000_UNINFECTED_POP,0.03
2017,SH_HIV_INCD,,F,Y15T24,PER_1000_UNINFECTED_POP,0.02
2018,SH_HIV_INCD,,F,Y15T24,PER_1000_UNINFECTED_POP,0.02
2019,SH_HIV_INCD,,F,Y15T24,PER_1000_UNINFECTED_POP,0.02
2000,SH_HIV_INCD,,F,Y15T49,PER_1000_UNINFECTED_POP,0.22
2001,SH_HIV_INCD,,F,Y15T49,PER_1000_UNINFECTED_POP,0.21
2002,SH_HIV_INCD,,F,Y15T49,PER_1000_UNINFECTED_POP,0.2
2003,SH_HIV_INCD,,F,Y15T49,PER_1000_UNINFECTED_POP,0.19
2004,SH_HIV_INCD,,F,Y15T49,PER_1000_UNINFECTED_POP,0.18
2005,SH_HIV_INCD,,F,Y15T49,PER_1000_UNINFECTED_POP,0.17
2006,SH_HIV_INCD,,F,Y15T49,PER_1000_UNINFECTED_POP,0.14
2007,SH_HIV_INCD,,F,Y15T49,PER_1000_UNINFECTED_POP,0.12
2008,SH_HIV_INCD,,F,Y15T49,PER_1000_UNINFECTED_POP,0.11
2009,SH_HIV_INCD,,F,Y15T49,PER_1000_UNINFECTED_POP,0.1
2010,SH_HIV_INCD,,F,Y15T49,PER_1000_UNINFECTED_POP,0.08
2011,SH_HIV_INCD,,F,Y15T49,PER_1000_UNINFECTED_POP,0.07
2012,SH_HIV_INCD,,F,Y15T49,PER_1000_UNINFECTED_POP,0.06
2013,SH_HIV_INCD,,F,Y15T49,PER_1000_UNINFECTED_POP,0.05
2014,SH_HIV_INCD,,F,Y15T49,PER_1000_UNINFECTED_POP,0.05
2015,SH_HIV_INCD,,F,Y15T49,PER_1000_UNINFECTED_POP,0.05
2016,SH_HIV_INCD,,F,Y15T49,PER_1000_UNINFECTED_POP,0.04
2017,SH_HIV_INCD,,F,Y15T49,PER_1000_UNINFECTED_POP,0.04
2018,SH_HIV_INCD,,F,Y15T49,PER_1000_UNINFECTED_POP,0.03
2019,SH_HIV_INCD,,F,Y15T49,PER_1000_UNINFECTED_POP,0.03
2000,SH_HIV_INCD,,M,,PER_1000_UNINFECTED_POP,0.28
2001,SH_HIV_INCD,,M,,PER_1000_UNINFECTED_POP,0.26
2002,SH_HIV_INCD,,M,,PER_1000_UNINFECTED_POP,0.25
2003,SH_HIV_INCD,,M,,PER_1000_UNINFECTED_POP,0.24
2004,SH_HIV_INCD,,M,,PER_1000_UNINFECTED_POP,0.22
2005,SH_HIV_INCD,,M,,PER_1000_UNINFECTED_POP,0.21
2006,SH_HIV_INCD,,M,,PER_1000_UNINFECTED_POP,0.18
2007,SH_HIV_INCD,,M,,PER_1000_UNINFECTED_POP,0.15
2008,SH_HIV_INCD,,M,,PER_1000_UNINFECTED_POP,0.14
2009,SH_HIV_INCD,,M,,PER_1000_UNINFECTED_POP,0.12
2010,SH_HIV_INCD,,M,,PER_1000_UNINFECTED_POP,0.11
2011,SH_HIV_INCD,,M,,PER_1000_UNINFECTED_POP,0.09
2012,SH_HIV_INCD,,M,,PER_1000_UNINFECTED_POP,0.08
2013,SH_HIV_INCD,,M,,PER_1000_UNINFECTED_POP,0.07
2014,SH_HIV_INCD,,M,,PER_1000_UNINFECTED_POP,0.06
2015,SH_HIV_INCD,,M,,PER_1000_UNINFECTED_POP,0.06
2016,SH_HIV_INCD,,M,,PER_1000_UNINFECTED_POP,0.05
2017,SH_HIV_INCD,,M,,PER_1000_UNINFECTED_POP,0.05
2018,SH_HIV_INCD,,M,,PER_1000_UNINFECTED_POP,0.04
2019,SH_HIV_INCD,,M,,PER_1000_UNINFECTED_POP,0.04
2000,SH_HIV_INCD,,M,Y_GE50,PER_1000_UNINFECTED_POP,0.12
2001,SH_HIV_INCD,,M,Y_GE50,PER_1000_UNINFECTED_POP,0.11
2002,SH_HIV_INCD,,M,Y_GE50,PER_1000_UNINFECTED_POP,0.11
2003,SH_HIV_INCD,,M,Y_GE50,PER_1000_UNINFECTED_POP,0.1
2004,SH_HIV_INCD,,M,Y_GE50,PER_1000_UNINFECTED_POP,0.09
2005,SH_HIV_INCD,,M,Y_GE50,PER_1000_UNINFECTED_POP,0.08
2006,SH_HIV_INCD,,M,Y_GE50,PER_1000_UNINFECTED_POP,0.07
2007,SH_HIV_INCD,,M,Y_GE50,PER_1000_UNINFECTED_POP,0.06
2008,SH_HIV_INCD,,M,Y_GE50,PER_1000_UNINFECTED_POP,0.05
2009,SH_HIV_INCD,,M,Y_GE50,PER_1000_UNINFECTED_POP,0.05
2010,SH_HIV_INCD,,M,Y_GE50,PER_1000_UNINFECTED_POP,0.04
2011,SH_HIV_INCD,,M,Y_GE50,PER_1000_UNINFECTED_POP,0.04
2012,SH_HIV_INCD,,M,Y_GE50,PER_1000_UNINFECTED_POP,0.03
2013,SH_HIV_INCD,,M,Y_GE50,PER_1000_UNINFECTED_POP,0.03
2014,SH_HIV_INCD,,M,Y_GE50,PER_1000_UNINFECTED_POP,0.03
2015,SH_HIV_INCD,,M,Y_GE50,PER_1000_UNINFECTED_POP,0.03
2016,SH_HIV_INCD,,M,Y_GE50,PER_1000_UNINFECTED_POP,0.02
2017,SH_HIV_INCD,,M,Y_GE50,PER_1000_UNINFECTED_POP,0.02
2018,SH_HIV_INCD,,M,Y_GE50,PER_1000_UNINFECTED_POP,0.02
2019,SH_HIV_INCD,,M,Y_GE50,PER_1000_UNINFECTED_POP,0.02
2000,SH_HIV_INCD,,M,Y15T24,PER_1000_UNINFECTED_POP,0.16
2001,SH_HIV_INCD,,M,Y15T24,PER_1000_UNINFECTED_POP,0.14
2002,SH_HIV_INCD,,M,Y15T24,PER_1000_UNINFECTED_POP,0.14
2003,SH_HIV_INCD,,M,Y15T24,PER_1000_UNINFECTED_POP,0.13
2004,SH_HIV_INCD,,M,Y15T24,PER_1000_UNINFECTED_POP,0.12
2005,SH_HIV_INCD,,M,Y15T24,PER_1000_UNINFECTED_POP,0.11
2006,SH_HIV_INCD,,M,Y15T24,PER_1000_UNINFECTED_POP,0.1
2007,SH_HIV_INCD,,M,Y15T24,PER_1000_UNINFECTED_POP,0.08
2008,SH_HIV_INCD,,M,Y15T24,PER_1000_UNINFECTED_POP,0.07
2009,SH_HIV_INCD,,M,Y15T24,PER_1000_UNINFECTED_POP,0.07
2010,SH_HIV_INCD,,M,Y15T24,PER_1000_UNINFECTED_POP,0.06
2011,SH_HIV_INCD,,M,Y15T24,PER_1000_UNINFECTED_POP,0.05
2012,SH_HIV_INCD,,M,Y15T24,PER_1000_UNINFECTED_POP,0.05
2013,SH_HIV_INCD,,M,Y15T24,PER_1000_UNINFECTED_POP,0.04
2014,SH_HIV_INCD,,M,Y15T24,PER_1000_UNINFECTED_POP,0.04
2015,SH_HIV_INCD,,M,Y15T24,PER_1000_UNINFECTED_POP,0.04
2016,SH_HIV_INCD,,M,Y15T24,PER_1000_UNINFECTED_POP,0.03
2017,SH_HIV_INCD,,M,Y15T24,PER_1000_UNINFECTED_POP,0.03
2018,SH_HIV_INCD,,M,Y15T24,PER_1000_UNINFECTED_POP,0.03
2019,SH_HIV_INCD,,M,Y15T24,PER_1000_UNINFECTED_POP,0.02
2000,SH_HIV_INCD,,M,Y15T49,PER_1000_UNINFECTED_POP,0.53
2001,SH_HIV_INCD,,M,Y15T49,PER_1000_UNINFECTED_POP,0.5
2002,SH_HIV_INCD,,M,Y15T49,PER_1000_UNINFECTED_POP,0.48
2003,SH_HIV_INCD,,M,Y15T49,PER_1000_UNINFECTED_POP,0.46
2004,SH_HIV_INCD,,M,Y15T49,PER_1000_UNINFECTED_POP,0.42
2005,SH_HIV_INCD,,M,Y15T49,PER_1000_UNINFECTED_POP,0.39
2006,SH_HIV_INCD,,M,Y15T49,PER_1000_UNINFECTED_POP,0.34
2007,SH_HIV_INCD,,M,Y15T49,PER_1000_UNINFECTED_POP,0.29
2008,SH_HIV_INCD,,M,Y15T49,PER_1000_UNINFECTED_POP,0.26
2009,SH_HIV_INCD,,M,Y15T49,PER_1000_UNINFECTED_POP,0.23
2010,SH_HIV_INCD,,M,Y15T49,PER_1000_UNINFECTED_POP,0.2
2011,SH_HIV_INCD,,M,Y15T49,PER_1000_UNINFECTED_POP,0.17
2012,SH_HIV_INCD,,M,Y15T49,PER_1000_UNINFECTED_POP,0.15
2013,SH_HIV_INCD,,M,Y15T49,PER_1000_UNINFECTED_POP,0.13
2014,SH_HIV_INCD,,M,Y15T49,PER_1000_UNINFECTED_POP,0.12
2015,SH_HIV_INCD,,M,Y15T49,PER_1000_UNINFECTED_POP,0.11
2016,SH_HIV_INCD,,M,Y15T49,PER_1000_UNINFECTED_POP,0.1
2017,SH_HIV_INCD,,M,Y15T49,PER_1000_UNINFECTED_POP,0.09
2018,SH_HIV_INCD,,M,Y15T49,PER_1000_UNINFECTED_POP,0.07
2019,SH_HIV_INCD,,M,Y15T49,PER_1000_UNINFECTED_POP,0.07
