Year,Series,Reference area,COMPOSITE_BREAKDOWN,Units,Value
2011,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,IHR Capacity: Laboratory,Percent,60
2012,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,IHR Capacity: Laboratory,Percent,60
2013,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,IHR Capacity: Laboratory,Percent,100
2014,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,IHR Capacity: Laboratory,Percent,91
2015,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,IHR Capacity: Laboratory,Percent,100
2016,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,IHR Capacity: Laboratory,Percent,100
2017,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,IHR Capacity: Laboratory,Percent,69
2010,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,IHR Capacity: Points of entry,Percent,29
2011,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,IHR Capacity: Points of entry,Percent,15
2012,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,IHR Capacity: Points of entry,Percent,65
2013,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,IHR Capacity: Points of entry,Percent,21
2014,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,IHR Capacity: Points of entry,Percent,27
2015,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,IHR Capacity: Points of entry,Percent,27
2016,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,IHR Capacity: Points of entry,Percent,27
2017,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,IHR Capacity: Points of entry,Percent,59
2010,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,IHR Capacity: Zoonotic events,Percent,46
2011,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,IHR Capacity: Zoonotic events,Percent,67
2012,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,IHR Capacity: Zoonotic events,Percent,44
2013,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,IHR Capacity: Zoonotic events,Percent,100
2014,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,IHR Capacity: Zoonotic events,Percent,100
2015,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,IHR Capacity: Zoonotic events,Percent,100
2016,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,IHR Capacity: Zoonotic events,Percent,100
2017,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,IHR Capacity: Zoonotic events,Percent,33
2010,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,IHR Capacity: Food safety,Percent,46
2011,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,IHR Capacity: Food safety,Percent,58
2012,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,IHR Capacity: Food safety,Percent,60
2013,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,IHR Capacity: Food safety,Percent,73
2014,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,IHR Capacity: Food safety,Percent,47
2015,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,IHR Capacity: Food safety,Percent,53
2016,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,IHR Capacity: Food safety,Percent,53
2017,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,IHR Capacity: Food safety,Percent,7
2010,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,IHR Capacity: Chemical events,Percent,7
2011,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,IHR Capacity: Chemical events,Percent,83
2012,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,IHR Capacity: Chemical events,Percent,0
2013,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,IHR Capacity: Chemical events,Percent,31
2014,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,IHR Capacity: Chemical events,Percent,8
2015,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,IHR Capacity: Chemical events,Percent,8
2016,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,IHR Capacity: Chemical events,Percent,8
2017,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,IHR Capacity: Chemical events,Percent,0
2010,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,IHR Capacity: Radionuclear emergencies,Percent,6
2011,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,IHR Capacity: Radionuclear emergencies,Percent,17
2012,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,IHR Capacity: Radionuclear emergencies,Percent,0
2013,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,IHR Capacity: Radionuclear emergencies,Percent,8
2014,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,IHR Capacity: Radionuclear emergencies,Percent,8
2015,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,IHR Capacity: Radionuclear emergencies,Percent,8
2016,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,IHR Capacity: Radionuclear emergencies,Percent,8
2017,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,IHR Capacity: Radionuclear emergencies,Percent,0
2018,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,State Party Annual Report: Legislation and Financing,Percent,27
2019,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,State Party Annual Report: Legislation and Financing,Percent,47
2018,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,State Party Annual Report: IHR Coordination and National IHR Focal Point Functions ,Percent,20
2019,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,State Party Annual Report: IHR Coordination and National IHR Focal Point Functions ,Percent,50
2018,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,State Party Annual Report: Zoonotic events and the human–animal interface ,Percent,20
2019,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,State Party Annual Report: Zoonotic events and the human–animal interface ,Percent,20
2018,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,State Party Annual Report: Food safety ,Percent,20
2019,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,State Party Annual Report: Food safety ,Percent,20
2018,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,State Party Annual Report: Laboratory ,Percent,33
2019,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,State Party Annual Report: Laboratory ,Percent,40
2018,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,State Party Annual Report: Surveillance ,Percent,40
2019,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,State Party Annual Report: Surveillance ,Percent,50
2018,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,State Party Annual Report: Human resources ,Percent,40
2019,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,State Party Annual Report: Human resources ,Percent,40
2018,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,State Party Annual Report: National Health Emergency Framework ,Percent,40
2019,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,State Party Annual Report: National Health Emergency Framework ,Percent,47
2018,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,State Party Annual Report: Health Service Provision ,Percent,20
2019,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,State Party Annual Report: Health Service Provision ,Percent,40
2018,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,State Party Annual Report: Risk Communication ,Percent,20
2019,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,State Party Annual Report: Risk Communication ,Percent,20
2018,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,State Party Annual Report: Points of entry ,Percent,20
2019,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,State Party Annual Report: Points of entry ,Percent,30
2018,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,State Party Annual Report: Chemical events ,Percent,0
2019,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,State Party Annual Report: Chemical events ,Percent,20
2018,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,State Party Annual Report: Radiation emergencies ,Percent,0
2019,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",,State Party Annual Report: Radiation emergencies ,Percent,20
