Year,SDG Series,Type of product,Unit of measure,Value
2015,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,Percent,2.66386
2016,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,Percent,2.63841
2017,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,Percent,2.50534
2018,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,Percent,2.60226
2000,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,Percent,4.19712
2005,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,Percent,4.97401
2010,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,Percent,4.96091
2011,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,Percent,4.96075
2012,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,Percent,4.95657
2013,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,Percent,4.95648
2014,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,Percent,4.95639
2015,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,Percent,4.95988
2016,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,Percent,4.97582
2017,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,Percent,4.92572
2018,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,Percent,4.97718
2000,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,Percent,3.23181
2005,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,Percent,2.46329
2010,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,Percent,2.45482
2011,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,Percent,2.45075
2012,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,Percent,2.63814
2013,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,Percent,2.64101
2014,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,Percent,2.64285
2015,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,Percent,2.64777
2016,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,Percent,2.63355
2017,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,Percent,2.50361
2018,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,Percent,2.61017
2000,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,Percent,1.44634
2005,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,Percent,1.64971
2010,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,Percent,0.33653
2011,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,Percent,0.33654
2012,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,Percent,0.29674
2013,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,Percent,0.30307
2014,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,Percent,0.30637
2015,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,Percent,0.29919
2016,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,Percent,0.29919
2017,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,Percent,0.25722
2018,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,Percent,0.27306
2000,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Arms,Percent,0.32737
2005,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Arms,Percent,0.1672
2010,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Arms,Percent,0.1672
2011,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Arms,Percent,0.1672
2012,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Arms,Percent,0.1672
2013,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Arms,Percent,0.1672
2014,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Arms,Percent,0.1672
2015,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Arms,Percent,0.1672
2016,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Arms,Percent,0.1672
2017,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Arms,Percent,0.1672
2018,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Arms,Percent,0.1672
2000,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,Percent,6.14091
2005,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,Percent,5.18118
2010,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,Percent,5.17989
2011,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,Percent,5.17585
2012,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,Percent,5.17597
2013,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,Percent,5.17596
2014,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,Percent,5.17593
2015,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,Percent,5.17592
2016,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,Percent,5.17592
2017,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,Percent,4.9847
2018,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,Percent,5.18884
2000,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,Percent,0.49614
2005,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,Percent,0.15276
2010,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,Percent,0.14201
2011,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,Percent,0.13712
2012,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,Percent,0.5571
2013,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,Percent,0.56349
2014,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,Percent,0.56761
2015,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,Percent,0.5779
2016,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,Percent,0.55328
2017,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,Percent,0.46599
2018,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,Percent,0.48823
2000,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,Percent,2.45647
2005,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,Percent,0.64005
2010,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,Percent,0.62686
2011,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,Percent,0.62618
2012,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,Percent,0.61744
2013,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,Percent,0.61751
2014,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,Percent,0.61745
2015,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,Percent,0.62067
2016,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,Percent,0.58925
2017,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,Percent,0.54133
2018,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,Percent,0.58928
