Year,Series,Reference area,Sex,Degree of urbanisation,Income or wealth quantile,Education level,Units,Value
2014,SE_TOT_CPLR,Nepal,,Rural,Quintile 3,Primary education,Percent,73.19997
2016,SE_TOT_CPLR,Nepal,,Rural,Quintile 3,Primary education,Percent,69.36705
2007,SE_TOT_CPLR,Nepal,,Rural,Quintile 3,Lower secondary education,Percent,29.9015
2011,SE_TOT_CPLR,Nepal,,Rural,Quintile 3,Lower secondary education,Percent,51.20454
2014,SE_TOT_CPLR,Nepal,,Rural,Quintile 3,Lower secondary education,Percent,62.05598
2016,SE_TOT_CPLR,Nepal,,Rural,Quintile 3,Lower secondary education,Percent,58.18361
2007,SE_TOT_CPLR,Nepal,,Rural,Quintile 3,Upper secondary education,Percent,1.79686
2007,SE_TOT_CPLR,Nepal,,Rural,Quintile 4,Primary education,Percent,75.98124
2011,SE_TOT_CPLR,Nepal,,Rural,Quintile 4,Primary education,Percent,83.07404
2014,SE_TOT_CPLR,Nepal,,Rural,Quintile 4,Primary education,Percent,81.05399
2016,SE_TOT_CPLR,Nepal,,Rural,Quintile 4,Primary education,Percent,75.92036
2007,SE_TOT_CPLR,Nepal,,Rural,Quintile 4,Lower secondary education,Percent,53.21393
2011,SE_TOT_CPLR,Nepal,,Rural,Quintile 4,Lower secondary education,Percent,71.86572
2014,SE_TOT_CPLR,Nepal,,Rural,Quintile 4,Lower secondary education,Percent,72.76559
2016,SE_TOT_CPLR,Nepal,,Rural,Quintile 4,Lower secondary education,Percent,60.82517
2007,SE_TOT_CPLR,Nepal,,Rural,Quintile 4,Upper secondary education,Percent,4.54065
2007,SE_TOT_CPLR,Nepal,,Rural,Quintile 5 (richest),Primary education,Percent,84.56799
2011,SE_TOT_CPLR,Nepal,,Rural,Quintile 5 (richest),Primary education,Percent,95.27268
2014,SE_TOT_CPLR,Nepal,,Rural,Quintile 5 (richest),Primary education,Percent,87.08804
2016,SE_TOT_CPLR,Nepal,,Rural,Quintile 5 (richest),Primary education,Percent,85.99329
2007,SE_TOT_CPLR,Nepal,,Rural,Quintile 5 (richest),Lower secondary education,Percent,75.98495
2011,SE_TOT_CPLR,Nepal,,Rural,Quintile 5 (richest),Lower secondary education,Percent,88.96557
2014,SE_TOT_CPLR,Nepal,,Rural,Quintile 5 (richest),Lower secondary education,Percent,85.12705
2016,SE_TOT_CPLR,Nepal,,Rural,Quintile 5 (richest),Lower secondary education,Percent,73.67974
2007,SE_TOT_CPLR,Nepal,,Rural,Quintile 5 (richest),Upper secondary education,Percent,17.08885
2001,SE_TOT_CPLR,Nepal,,Urban,,Primary education,Percent,75.83
2007,SE_TOT_CPLR,Nepal,,Urban,,Primary education,Percent,75.84077
2011,SE_TOT_CPLR,Nepal,,Urban,,Primary education,Percent,86.54192
2014,SE_TOT_CPLR,Nepal,,Urban,,Primary education,Percent,87.52516
2016,SE_TOT_CPLR,Nepal,,Urban,,Primary education,Percent,87.20386
2001,SE_TOT_CPLR,Nepal,,Urban,,Lower secondary education,Percent,61.01
2007,SE_TOT_CPLR,Nepal,,Urban,,Lower secondary education,Percent,63.84201
2011,SE_TOT_CPLR,Nepal,,Urban,,Lower secondary education,Percent,77.52374
2014,SE_TOT_CPLR,Nepal,,Urban,,Lower secondary education,Percent,82.03268
2016,SE_TOT_CPLR,Nepal,,Urban,,Lower secondary education,Percent,75.34138
2001,SE_TOT_CPLR,Nepal,,Urban,,Upper secondary education,Percent,18.22
2007,SE_TOT_CPLR,Nepal,,Urban,,Upper secondary education,Percent,16.64811
2007,SE_TOT_CPLR,Nepal,,Urban,Quintile 1 (poorest),Primary education,Percent,50.11575
2011,SE_TOT_CPLR,Nepal,,Urban,Quintile 1 (poorest),Primary education,Percent,52.23219
2014,SE_TOT_CPLR,Nepal,,Urban,Quintile 1 (poorest),Primary education,Percent,82.53073
2016,SE_TOT_CPLR,Nepal,,Urban,Quintile 1 (poorest),Primary education,Percent,78.65067
2007,SE_TOT_CPLR,Nepal,,Urban,Quintile 1 (poorest),Lower secondary education,Percent,18.5484
2011,SE_TOT_CPLR,Nepal,,Urban,Quintile 1 (poorest),Lower secondary education,Percent,26.0511
2014,SE_TOT_CPLR,Nepal,,Urban,Quintile 1 (poorest),Lower secondary education,Percent,36.73463
2016,SE_TOT_CPLR,Nepal,,Urban,Quintile 1 (poorest),Lower secondary education,Percent,53.14885
2007,SE_TOT_CPLR,Nepal,,Urban,Quintile 2,Primary education,Percent,63.72432
2011,SE_TOT_CPLR,Nepal,,Urban,Quintile 2,Primary education,Percent,53.66763
2014,SE_TOT_CPLR,Nepal,,Urban,Quintile 2,Primary education,Percent,74.5393
2016,SE_TOT_CPLR,Nepal,,Urban,Quintile 2,Primary education,Percent,84.80207
2007,SE_TOT_CPLR,Nepal,,Urban,Quintile 2,Lower secondary education,Percent,20.47132
2011,SE_TOT_CPLR,Nepal,,Urban,Quintile 2,Lower secondary education,Percent,36.00732
2014,SE_TOT_CPLR,Nepal,,Urban,Quintile 2,Lower secondary education,Percent,67.8237
2016,SE_TOT_CPLR,Nepal,,Urban,Quintile 2,Lower secondary education,Percent,63.33834
2007,SE_TOT_CPLR,Nepal,,Urban,Quintile 3,Primary education,Percent,51.78432
2011,SE_TOT_CPLR,Nepal,,Urban,Quintile 3,Primary education,Percent,76.42323
2014,SE_TOT_CPLR,Nepal,,Urban,Quintile 3,Primary education,Percent,83.29626
2016,SE_TOT_CPLR,Nepal,,Urban,Quintile 3,Primary education,Percent,83.02954
2007,SE_TOT_CPLR,Nepal,,Urban,Quintile 3,Lower secondary education,Percent,24.7648
2011,SE_TOT_CPLR,Nepal,,Urban,Quintile 3,Lower secondary education,Percent,65.50297
2014,SE_TOT_CPLR,Nepal,,Urban,Quintile 3,Lower secondary education,Percent,66.10715
2016,SE_TOT_CPLR,Nepal,,Urban,Quintile 3,Lower secondary education,Percent,67.75967
2007,SE_TOT_CPLR,Nepal,,Urban,Quintile 4,Primary education,Percent,64.51801
2011,SE_TOT_CPLR,Nepal,,Urban,Quintile 4,Primary education,Percent,85.08331
2014,SE_TOT_CPLR,Nepal,,Urban,Quintile 4,Primary education,Percent,74.63296
2016,SE_TOT_CPLR,Nepal,,Urban,Quintile 4,Primary education,Percent,88.35
2007,SE_TOT_CPLR,Nepal,,Urban,Quintile 4,Lower secondary education,Percent,50.44034
2011,SE_TOT_CPLR,Nepal,,Urban,Quintile 4,Lower secondary education,Percent,66.78238
2014,SE_TOT_CPLR,Nepal,,Urban,Quintile 4,Lower secondary education,Percent,70.49654
2016,SE_TOT_CPLR,Nepal,,Urban,Quintile 4,Lower secondary education,Percent,77.46302
2007,SE_TOT_CPLR,Nepal,,Urban,Quintile 4,Upper secondary education,Percent,5.39116
2007,SE_TOT_CPLR,Nepal,,Urban,Quintile 5 (richest),Primary education,Percent,82.50175
2011,SE_TOT_CPLR,Nepal,,Urban,Quintile 5 (richest),Primary education,Percent,92.66089
2014,SE_TOT_CPLR,Nepal,,Urban,Quintile 5 (richest),Primary education,Percent,94.24215
2016,SE_TOT_CPLR,Nepal,,Urban,Quintile 5 (richest),Primary education,Percent,95.33183
2007,SE_TOT_CPLR,Nepal,,Urban,Quintile 5 (richest),Lower secondary education,Percent,72.53409
2011,SE_TOT_CPLR,Nepal,,Urban,Quintile 5 (richest),Lower secondary education,Percent,88.01306
2014,SE_TOT_CPLR,Nepal,,Urban,Quintile 5 (richest),Lower secondary education,Percent,90.74529
2016,SE_TOT_CPLR,Nepal,,Urban,Quintile 5 (richest),Lower secondary education,Percent,93.26904
2007,SE_TOT_CPLR,Nepal,,Urban,Quintile 5 (richest),Upper secondary education,Percent,21.45358
2001,SE_TOT_CPLR,Nepal,Female,,,Primary education,Percent,44.57
2007,SE_TOT_CPLR,Nepal,Female,,,Primary education,Percent,58.81388
2011,SE_TOT_CPLR,Nepal,Female,,,Primary education,Percent,71.70908
2014,SE_TOT_CPLR,Nepal,Female,,,Primary education,Percent,75.60509
2016,SE_TOT_CPLR,Nepal,Female,,,Primary education,Percent,82.3541
2001,SE_TOT_CPLR,Nepal,Female,,,Lower secondary education,Percent,25.63
2007,SE_TOT_CPLR,Nepal,Female,,,Lower secondary education,Percent,36.98014
2011,SE_TOT_CPLR,Nepal,Female,,,Lower secondary education,Percent,54.55937
2014,SE_TOT_CPLR,Nepal,Female,,,Lower secondary education,Percent,62.8549
2016,SE_TOT_CPLR,Nepal,Female,,,Lower secondary education,Percent,67.96679
2001,SE_TOT_CPLR,Nepal,Female,,,Upper secondary education,Percent,3.38
2007,SE_TOT_CPLR,Nepal,Female,,,Upper secondary education,Percent,4.19913
2007,SE_TOT_CPLR,Nepal,Female,,Quintile 1 (poorest),Primary education,Percent,35.75374
2011,SE_TOT_CPLR,Nepal,Female,,Quintile 1 (poorest),Primary education,Percent,53.5021
2014,SE_TOT_CPLR,Nepal,Female,,Quintile 1 (poorest),Primary education,Percent,73.81172
2016,SE_TOT_CPLR,Nepal,Female,,Quintile 1 (poorest),Primary education,Percent,80.84746
2007,SE_TOT_CPLR,Nepal,Female,,Quintile 1 (poorest),Lower secondary education,Percent,18.64259
2011,SE_TOT_CPLR,Nepal,Female,,Quintile 1 (poorest),Lower secondary education,Percent,26.21393
2014,SE_TOT_CPLR,Nepal,Female,,Quintile 1 (poorest),Lower secondary education,Percent,49.445
2016,SE_TOT_CPLR,Nepal,Female,,Quintile 1 (poorest),Lower secondary education,Percent,58.581
2007,SE_TOT_CPLR,Nepal,Female,,Quintile 1 (poorest),Upper secondary education,Percent,0.76451
2007,SE_TOT_CPLR,Nepal,Female,,Quintile 2,Primary education,Percent,49.23765
2011,SE_TOT_CPLR,Nepal,Female,,Quintile 2,Primary education,Percent,64.01551
2014,SE_TOT_CPLR,Nepal,Female,,Quintile 2,Primary education,Percent,64.71143
2016,SE_TOT_CPLR,Nepal,Female,,Quintile 2,Primary education,Percent,79.16949
2007,SE_TOT_CPLR,Nepal,Female,,Quintile 2,Lower secondary education,Percent,20.67638
2011,SE_TOT_CPLR,Nepal,Female,,Quintile 2,Lower secondary education,Percent,45.87336
2014,SE_TOT_CPLR,Nepal,Female,,Quintile 2,Lower secondary education,Percent,48.16346
2016,SE_TOT_CPLR,Nepal,Female,,Quintile 2,Lower secondary education,Percent,62.81736
2007,SE_TOT_CPLR,Nepal,Female,,Quintile 2,Upper secondary education,Percent,0.61275
2007,SE_TOT_CPLR,Nepal,Female,,Quintile 3,Primary education,Percent,56.12109
2011,SE_TOT_CPLR,Nepal,Female,,Quintile 3,Primary education,Percent,70.84213
2014,SE_TOT_CPLR,Nepal,Female,,Quintile 3,Primary education,Percent,72.32809
2016,SE_TOT_CPLR,Nepal,Female,,Quintile 3,Primary education,Percent,74.01636
2007,SE_TOT_CPLR,Nepal,Female,,Quintile 3,Lower secondary education,Percent,26.18271
2011,SE_TOT_CPLR,Nepal,Female,,Quintile 3,Lower secondary education,Percent,46.39151
2014,SE_TOT_CPLR,Nepal,Female,,Quintile 3,Lower secondary education,Percent,58.25831
2016,SE_TOT_CPLR,Nepal,Female,,Quintile 3,Lower secondary education,Percent,60.05073
2007,SE_TOT_CPLR,Nepal,Female,,Quintile 3,Upper secondary education,Percent,0.07218
2007,SE_TOT_CPLR,Nepal,Female,,Quintile 4,Primary education,Percent,72.99531
2011,SE_TOT_CPLR,Nepal,Female,,Quintile 4,Primary education,Percent,83.86273
2014,SE_TOT_CPLR,Nepal,Female,,Quintile 4,Primary education,Percent,80.32063
2016,SE_TOT_CPLR,Nepal,Female,,Quintile 4,Primary education,Percent,84.07494
2007,SE_TOT_CPLR,Nepal,Female,,Quintile 4,Lower secondary education,Percent,50.0038
2011,SE_TOT_CPLR,Nepal,Female,,Quintile 4,Lower secondary education,Percent,69.40162
2014,SE_TOT_CPLR,Nepal,Female,,Quintile 4,Lower secondary education,Percent,69.75297
2016,SE_TOT_CPLR,Nepal,Female,,Quintile 4,Lower secondary education,Percent,69.077
2007,SE_TOT_CPLR,Nepal,Female,,Quintile 4,Upper secondary education,Percent,1.59582
2007,SE_TOT_CPLR,Nepal,Female,,Quintile 5 (richest),Primary education,Percent,83.55772
2011,SE_TOT_CPLR,Nepal,Female,,Quintile 5 (richest),Primary education,Percent,94.12934
2014,SE_TOT_CPLR,Nepal,Female,,Quintile 5 (richest),Primary education,Percent,92.25485
2016,SE_TOT_CPLR,Nepal,Female,,Quintile 5 (richest),Primary education,Percent,96.29373
2007,SE_TOT_CPLR,Nepal,Female,,Quintile 5 (richest),Lower secondary education,Percent,71.28803
2011,SE_TOT_CPLR,Nepal,Female,,Quintile 5 (richest),Lower secondary education,Percent,85.20126
2014,SE_TOT_CPLR,Nepal,Female,,Quintile 5 (richest),Lower secondary education,Percent,93.14192
2016,SE_TOT_CPLR,Nepal,Female,,Quintile 5 (richest),Lower secondary education,Percent,91.10503
2007,SE_TOT_CPLR,Nepal,Female,,Quintile 5 (richest),Upper secondary education,Percent,16.12992
2007,SE_TOT_CPLR,Nepal,Female,Rural,,Primary education,Percent,56.52259
2011,SE_TOT_CPLR,Nepal,Female,Rural,,Primary education,Percent,69.99562
2014,SE_TOT_CPLR,Nepal,Female,Rural,,Primary education,Percent,73.70902
2016,SE_TOT_CPLR,Nepal,Female,Rural,,Primary education,Percent,75.11507
2007,SE_TOT_CPLR,Nepal,Female,Rural,,Lower secondary education,Percent,33.45314
2011,SE_TOT_CPLR,Nepal,Female,Rural,,Lower secondary education,Percent,50.97225
2014,SE_TOT_CPLR,Nepal,Female,Rural,,Lower secondary education,Percent,58.83623
2016,SE_TOT_CPLR,Nepal,Female,Rural,,Lower secondary education,Percent,56.89827
2007,SE_TOT_CPLR,Nepal,Female,Rural,,Upper secondary education,Percent,2.02964
2007,SE_TOT_CPLR,Nepal,Female,Rural,Quintile 1 (poorest),Primary education,Percent,35.47561
2011,SE_TOT_CPLR,Nepal,Female,Rural,Quintile 1 (poorest),Primary education,Percent,53.69672
2014,SE_TOT_CPLR,Nepal,Female,Rural,Quintile 1 (poorest),Primary education,Percent,73.53191
2016,SE_TOT_CPLR,Nepal,Female,Rural,Quintile 1 (poorest),Primary education,Percent,80.96201
2007,SE_TOT_CPLR,Nepal,Female,Rural,Quintile 1 (poorest),Lower secondary education,Percent,18.91756
2011,SE_TOT_CPLR,Nepal,Female,Rural,Quintile 1 (poorest),Lower secondary education,Percent,26.2139
2014,SE_TOT_CPLR,Nepal,Female,Rural,Quintile 1 (poorest),Lower secondary education,Percent,49.88022
2016,SE_TOT_CPLR,Nepal,Female,Rural,Quintile 1 (poorest),Lower secondary education,Percent,59.57008
2007,SE_TOT_CPLR,Nepal,Female,Rural,Quintile 1 (poorest),Upper secondary education,Percent,0.77679
2007,SE_TOT_CPLR,Nepal,Female,Rural,Quintile 2,Primary education,Percent,49.0802
2011,SE_TOT_CPLR,Nepal,Female,Rural,Quintile 2,Primary education,Percent,64.16302
2014,SE_TOT_CPLR,Nepal,Female,Rural,Quintile 2,Primary education,Percent,64.44589
2016,SE_TOT_CPLR,Nepal,Female,Rural,Quintile 2,Primary education,Percent,73.87392
2007,SE_TOT_CPLR,Nepal,Female,Rural,Quintile 2,Lower secondary education,Percent,20.66905
2011,SE_TOT_CPLR,Nepal,Female,Rural,Quintile 2,Lower secondary education,Percent,46.07276
2014,SE_TOT_CPLR,Nepal,Female,Rural,Quintile 2,Lower secondary education,Percent,47.54568
2016,SE_TOT_CPLR,Nepal,Female,Rural,Quintile 2,Lower secondary education,Percent,57.40441
2007,SE_TOT_CPLR,Nepal,Female,Rural,Quintile 2,Upper secondary education,Percent,0.65745
2007,SE_TOT_CPLR,Nepal,Female,Rural,Quintile 3,Primary education,Percent,56.11734
2011,SE_TOT_CPLR,Nepal,Female,Rural,Quintile 3,Primary education,Percent,70.90469
2014,SE_TOT_CPLR,Nepal,Female,Rural,Quintile 3,Primary education,Percent,71.91736
2016,SE_TOT_CPLR,Nepal,Female,Rural,Quintile 3,Primary education,Percent,66.07231
2007,SE_TOT_CPLR,Nepal,Female,Rural,Quintile 3,Lower secondary education,Percent,26.41801
2011,SE_TOT_CPLR,Nepal,Female,Rural,Quintile 3,Lower secondary education,Percent,45.68939
2014,SE_TOT_CPLR,Nepal,Female,Rural,Quintile 3,Lower secondary education,Percent,58.41933
2016,SE_TOT_CPLR,Nepal,Female,Rural,Quintile 3,Lower secondary education,Percent,54.39867
2007,SE_TOT_CPLR,Nepal,Female,Rural,Quintile 3,Upper secondary education,Percent,0.07502
2007,SE_TOT_CPLR,Nepal,Female,Rural,Quintile 4,Primary education,Percent,74.4369
2011,SE_TOT_CPLR,Nepal,Female,Rural,Quintile 4,Primary education,Percent,83.87191
2014,SE_TOT_CPLR,Nepal,Female,Rural,Quintile 4,Primary education,Percent,80.94952
2016,SE_TOT_CPLR,Nepal,Female,Rural,Quintile 4,Primary education,Percent,75.05204
2007,SE_TOT_CPLR,Nepal,Female,Rural,Quintile 4,Lower secondary education,Percent,50.65564
2011,SE_TOT_CPLR,Nepal,Female,Rural,Quintile 4,Lower secondary education,Percent,69.28082
2014,SE_TOT_CPLR,Nepal,Female,Rural,Quintile 4,Lower secondary education,Percent,68.65011
2016,SE_TOT_CPLR,Nepal,Female,Rural,Quintile 4,Lower secondary education,Percent,56.14554
2007,SE_TOT_CPLR,Nepal,Female,Rural,Quintile 4,Upper secondary education,Percent,1.35388
2007,SE_TOT_CPLR,Nepal,Female,Rural,Quintile 5 (richest),Primary education,Percent,85.07551
2011,SE_TOT_CPLR,Nepal,Female,Rural,Quintile 5 (richest),Primary education,Percent,94.86418
2014,SE_TOT_CPLR,Nepal,Female,Rural,Quintile 5 (richest),Primary education,Percent,88.95193
2007,SE_TOT_CPLR,Nepal,Female,Rural,Quintile 5 (richest),Lower secondary education,Percent,75.61576
2011,SE_TOT_CPLR,Nepal,Female,Rural,Quintile 5 (richest),Lower secondary education,Percent,84.82095
2014,SE_TOT_CPLR,Nepal,Female,Rural,Quintile 5 (richest),Lower secondary education,Percent,90.247
2007,SE_TOT_CPLR,Nepal,Female,Rural,Quintile 5 (richest),Upper secondary education,Percent,11.55428
2007,SE_TOT_CPLR,Nepal,Female,Urban,,Primary education,Percent,74.70972
2011,SE_TOT_CPLR,Nepal,Female,Urban,,Primary education,Percent,85.54564
2014,SE_TOT_CPLR,Nepal,Female,Urban,,Primary education,Percent,88.26855
2016,SE_TOT_CPLR,Nepal,Female,Urban,,Primary education,Percent,88.25627
2007,SE_TOT_CPLR,Nepal,Female,Urban,,Lower secondary education,Percent,57.64083
2011,SE_TOT_CPLR,Nepal,Female,Urban,,Lower secondary education,Percent,76.89812
2014,SE_TOT_CPLR,Nepal,Female,Urban,,Lower secondary education,Percent,84.86743
2016,SE_TOT_CPLR,Nepal,Female,Urban,,Lower secondary education,Percent,74.70448
2007,SE_TOT_CPLR,Nepal,Female,Urban,,Upper secondary education,Percent,14.23089
2007,SE_TOT_CPLR,Nepal,Female,Urban,Quintile 1 (poorest),Primary education,Percent,49.2142
2011,SE_TOT_CPLR,Nepal,Female,Urban,Quintile 1 (poorest),Primary education,Percent,39.6262
2014,SE_TOT_CPLR,Nepal,Female,Urban,Quintile 1 (poorest),Primary education,Percent,84.6346
2016,SE_TOT_CPLR,Nepal,Female,Urban,Quintile 1 (poorest),Primary education,Percent,80.63904
2007,SE_TOT_CPLR,Nepal,Female,Urban,Quintile 1 (poorest),Lower secondary education,Percent,6.47637
2016,SE_TOT_CPLR,Nepal,Female,Urban,Quintile 1 (poorest),Lower secondary education,Percent,56.9784
2007,SE_TOT_CPLR,Nepal,Female,Urban,Quintile 2,Primary education,Percent,55.31514
