Year,Series,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,Education level,Occupation,Custom Breakdown,COMPOSITE_BREAKDOWN,Disability status,Economic activity,Type of product,Units,Value
2017,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,None,Metric Tons,3.90282
2000,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - construction dominant (material flows),Metric Tons,0.11115
2001,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - construction dominant (material flows),Metric Tons,0.33372
2002,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - construction dominant (material flows),Metric Tons,0.55969
2003,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - construction dominant (material flows),Metric Tons,0.86773
2004,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - construction dominant (material flows),Metric Tons,0.74922
2005,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - construction dominant (material flows),Metric Tons,0.74007
2006,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - construction dominant (material flows),Metric Tons,0.73264
2007,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - construction dominant (material flows),Metric Tons,0.68619
2008,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - construction dominant (material flows),Metric Tons,0.68852
2009,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - construction dominant (material flows),Metric Tons,0.69788
2010,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - construction dominant (material flows),Metric Tons,0.73612
2011,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - construction dominant (material flows),Metric Tons,0.66374
2012,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - construction dominant (material flows),Metric Tons,0.68667
2013,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - construction dominant (material flows),Metric Tons,0.73171
2014,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - construction dominant (material flows),Metric Tons,0.765
2015,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - construction dominant (material flows),Metric Tons,0.80433
2016,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - construction dominant (material flows),Metric Tons,0.84296
2017,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - construction dominant (material flows),Metric Tons,0.88085
2000,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,0.00034
2001,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,0.00027
2002,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,0.00021
2003,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,0.00425
2004,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,0.00129
2005,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,0.00161
2006,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,0.00157
2007,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,0.00168
2008,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,0.00095
2009,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,0.00087
2010,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,0.00746
2011,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,0.01198
2012,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,0.01148
2013,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,0.01173
2014,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,0.01213
2015,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,0.0122
2016,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,0.01226
2017,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,0.01233
2000,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Biomass (material flows),Metric Tons,2.44015
2001,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Biomass (material flows),Metric Tons,2.4353
2002,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Biomass (material flows),Metric Tons,2.4459
2003,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Biomass (material flows),Metric Tons,2.46978
2004,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Biomass (material flows),Metric Tons,2.48626
2005,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Biomass (material flows),Metric Tons,2.50805
2006,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Biomass (material flows),Metric Tons,2.49375
2007,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Biomass (material flows),Metric Tons,2.49237
2008,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Biomass (material flows),Metric Tons,2.5582
2009,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Biomass (material flows),Metric Tons,2.60524
2010,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Biomass (material flows),Metric Tons,2.60629
2011,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Biomass (material flows),Metric Tons,2.7083
2012,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Biomass (material flows),Metric Tons,2.83933
2013,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Biomass (material flows),Metric Tons,2.73814
2014,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Biomass (material flows),Metric Tons,2.82771
2015,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Biomass (material flows),Metric Tons,2.84926
2016,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Biomass (material flows),Metric Tons,2.87077
2017,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Biomass (material flows),Metric Tons,2.89221
2000,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Crops (material flows),Metric Tons,0.58381
2001,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Crops (material flows),Metric Tons,0.58765
2002,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Crops (material flows),Metric Tons,0.59957
2003,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Crops (material flows),Metric Tons,0.62238
2004,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Crops (material flows),Metric Tons,0.63436
2005,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Crops (material flows),Metric Tons,0.6464
2006,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Crops (material flows),Metric Tons,0.65064
2007,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Crops (material flows),Metric Tons,0.64848
2008,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Crops (material flows),Metric Tons,0.67683
2009,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Crops (material flows),Metric Tons,0.69135
2010,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Crops (material flows),Metric Tons,0.71013
2011,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Crops (material flows),Metric Tons,0.76253
2012,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Crops (material flows),Metric Tons,0.82522
2013,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Crops (material flows),Metric Tons,0.78398
2014,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Crops (material flows),Metric Tons,0.82205
2015,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Crops (material flows),Metric Tons,0.83535
2016,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Crops (material flows),Metric Tons,0.84853
2017,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Crops (material flows),Metric Tons,0.86155
2000,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Crop residues (material flows),Metric Tons,0.66483
2001,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Crop residues (material flows),Metric Tons,0.66783
2002,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Crop residues (material flows),Metric Tons,0.67173
2003,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Crop residues (material flows),Metric Tons,0.677
2004,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Crop residues (material flows),Metric Tons,0.69329
2005,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Crop residues (material flows),Metric Tons,0.7013
2006,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Crop residues (material flows),Metric Tons,0.69697
2007,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Crop residues (material flows),Metric Tons,0.68116
2008,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Crop residues (material flows),Metric Tons,0.71719
2009,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Crop residues (material flows),Metric Tons,0.72226
2010,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Crop residues (material flows),Metric Tons,0.7051
2011,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Crop residues (material flows),Metric Tons,0.76161
2012,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Crop residues (material flows),Metric Tons,0.80744
2013,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Crop residues (material flows),Metric Tons,0.74564
2014,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Crop residues (material flows),Metric Tons,0.80419
2015,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Crop residues (material flows),Metric Tons,0.81108
2016,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Crop residues (material flows),Metric Tons,0.81799
2017,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Crop residues (material flows),Metric Tons,0.82487
2000,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Grazed biomass and fodder crops (material flows),Metric Tons,0.78934
2001,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Grazed biomass and fodder crops (material flows),Metric Tons,0.78509
2002,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Grazed biomass and fodder crops (material flows),Metric Tons,0.78688
2003,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Grazed biomass and fodder crops (material flows),Metric Tons,0.78771
2004,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Grazed biomass and fodder crops (material flows),Metric Tons,0.7822
2005,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Grazed biomass and fodder crops (material flows),Metric Tons,0.78913
2006,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Grazed biomass and fodder crops (material flows),Metric Tons,0.78027
2007,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Grazed biomass and fodder crops (material flows),Metric Tons,0.8011
2008,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Grazed biomass and fodder crops (material flows),Metric Tons,0.80646
2009,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Grazed biomass and fodder crops (material flows),Metric Tons,0.8372
2010,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Grazed biomass and fodder crops (material flows),Metric Tons,0.83831
2011,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Grazed biomass and fodder crops (material flows),Metric Tons,0.83505
2012,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Grazed biomass and fodder crops (material flows),Metric Tons,0.86742
2013,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Grazed biomass and fodder crops (material flows),Metric Tons,0.87434
2014,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Grazed biomass and fodder crops (material flows),Metric Tons,0.86711
2015,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Grazed biomass and fodder crops (material flows),Metric Tons,0.87244
2016,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Grazed biomass and fodder crops (material flows),Metric Tons,0.87785
2017,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Grazed biomass and fodder crops (material flows),Metric Tons,0.88327
2000,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Wood (material flows),Metric Tons,0.40146
2001,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Wood (material flows),Metric Tons,0.39404
2002,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Wood (material flows),Metric Tons,0.38699
2003,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Wood (material flows),Metric Tons,0.3819
2004,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Wood (material flows),Metric Tons,0.37561
2005,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Wood (material flows),Metric Tons,0.37043
2006,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Wood (material flows),Metric Tons,0.36506
2007,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Wood (material flows),Metric Tons,0.36083
2008,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Wood (material flows),Metric Tons,0.35682
2009,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Wood (material flows),Metric Tons,0.3534
2010,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Wood (material flows),Metric Tons,0.35175
2011,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Wood (material flows),Metric Tons,0.34785
2012,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Wood (material flows),Metric Tons,0.33801
2013,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Wood (material flows),Metric Tons,0.33305
2014,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Wood (material flows),Metric Tons,0.33324
2015,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Wood (material flows),Metric Tons,0.32924
2016,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Wood (material flows),Metric Tons,0.32521
2017,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Wood (material flows),Metric Tons,0.32132
2000,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Wild catch and harvest (material flows),Metric Tons,0.00071
2001,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Wild catch and harvest (material flows),Metric Tons,0.0007
2002,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Wild catch and harvest (material flows),Metric Tons,0.00073
2003,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Wild catch and harvest (material flows),Metric Tons,0.00078
2004,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Wild catch and harvest (material flows),Metric Tons,0.0008
2005,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Wild catch and harvest (material flows),Metric Tons,0.00079
2006,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Wild catch and harvest (material flows),Metric Tons,0.0008
2007,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Wild catch and harvest (material flows),Metric Tons,0.00081
2008,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Wild catch and harvest (material flows),Metric Tons,0.0009
2009,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Wild catch and harvest (material flows),Metric Tons,0.00103
2010,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Wild catch and harvest (material flows),Metric Tons,0.00099
2011,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Wild catch and harvest (material flows),Metric Tons,0.00124
2012,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Wild catch and harvest (material flows),Metric Tons,0.00124
2013,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Wild catch and harvest (material flows),Metric Tons,0.00113
2014,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Wild catch and harvest (material flows),Metric Tons,0.00112
2015,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Wild catch and harvest (material flows),Metric Tons,0.00115
2016,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Wild catch and harvest (material flows),Metric Tons,0.00118
2017,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Wild catch and harvest (material flows),Metric Tons,0.00121
2003,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Metal ores (material flows),Metric Tons,0.02007
2009,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Metal ores (material flows),Metric Tons,0.00899
2010,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Metal ores (material flows),Metric Tons,0.02963
2011,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Metal ores (material flows),Metric Tons,0.02564
2012,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Metal ores (material flows),Metric Tons,0.02862
2013,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Metal ores (material flows),Metric Tons,0.04882
2014,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Metal ores (material flows),Metric Tons,0.04115
2015,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Metal ores (material flows),Metric Tons,0.04331
2016,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Metal ores (material flows),Metric Tons,0.04544
2017,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Metal ores (material flows),Metric Tons,0.04752
2003,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Ferrous ores (material flows),Metric Tons,0.01895
2009,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Ferrous ores (material flows),Metric Tons,0.00859
2010,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Ferrous ores (material flows),Metric Tons,0.02867
2011,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Ferrous ores (material flows),Metric Tons,0.02401
2012,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Ferrous ores (material flows),Metric Tons,0.02662
2013,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Ferrous ores (material flows),Metric Tons,0.04688
2014,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Ferrous ores (material flows),Metric Tons,0.03957
2015,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Ferrous ores (material flows),Metric Tons,0.04166
2016,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Ferrous ores (material flows),Metric Tons,0.04371
2017,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Ferrous ores (material flows),Metric Tons,0.04573
2003,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Non-ferrous ores (material flows),Metric Tons,0.00112
2009,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Non-ferrous ores (material flows),Metric Tons,0.0004
2010,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Non-ferrous ores (material flows),Metric Tons,0.00097
2011,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Non-ferrous ores (material flows),Metric Tons,0.00163
2012,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Non-ferrous ores (material flows),Metric Tons,0.002
2013,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Non-ferrous ores (material flows),Metric Tons,0.00193
2014,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Non-ferrous ores (material flows),Metric Tons,0.00157
2015,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Non-ferrous ores (material flows),Metric Tons,0.00165
2016,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Non-ferrous ores (material flows),Metric Tons,0.00172
2017,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Non-ferrous ores (material flows),Metric Tons,0.0018
2000,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals (material flows),Metric Tons,0.11149
2001,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals (material flows),Metric Tons,0.33399
2002,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals (material flows),Metric Tons,0.5599
2003,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals (material flows),Metric Tons,0.87198
2004,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals (material flows),Metric Tons,0.75051
2005,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals (material flows),Metric Tons,0.74168
2006,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals (material flows),Metric Tons,0.7342
2007,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals (material flows),Metric Tons,0.68787
2008,"Domestic material consumption per capita, by type of raw material",,None,None,None,None,None,None,None,None,None,None,Non-metallic minerals (material flows),Metric Tons,0.68947
