Year,Series,Reference area,Degree of urbanisation,Units,Value
2003,Proportion of population using basic sanitation services [1.4.1],,Rural,Percent,19.6302
2004,Proportion of population using basic sanitation services [1.4.1],,Rural,Percent,22.16072
2005,Proportion of population using basic sanitation services [1.4.1],,Rural,Percent,24.75441
2006,Proportion of population using basic sanitation services [1.4.1],,Rural,Percent,27.41128
2007,Proportion of population using basic sanitation services [1.4.1],,Rural,Percent,30.13132
2008,Proportion of population using basic sanitation services [1.4.1],,Rural,Percent,32.91454
2009,Proportion of population using basic sanitation services [1.4.1],,Rural,Percent,35.76093
2010,Proportion of population using basic sanitation services [1.4.1],,Rural,Percent,38.67049
2011,Proportion of population using basic sanitation services [1.4.1],,Rural,Percent,41.64323
2012,Proportion of population using basic sanitation services [1.4.1],,Rural,Percent,44.67914
2013,Proportion of population using basic sanitation services [1.4.1],,Rural,Percent,47.77822
2014,Proportion of population using basic sanitation services [1.4.1],,Rural,Percent,50.94049
2015,Proportion of population using basic sanitation services [1.4.1],,Rural,Percent,54.16592
2016,Proportion of population using basic sanitation services [1.4.1],,Rural,Percent,57.45453
2017,Proportion of population using basic sanitation services [1.4.1],,Rural,Percent,60.80631
2000,Proportion of population using basic sanitation services [1.4.1],,Urban,Percent,32.6204
2001,Proportion of population using basic sanitation services [1.4.1],,Urban,Percent,34.3747
2002,Proportion of population using basic sanitation services [1.4.1],,Urban,Percent,36.16439
2003,Proportion of population using basic sanitation services [1.4.1],,Urban,Percent,37.98947
2004,Proportion of population using basic sanitation services [1.4.1],,Urban,Percent,39.84995
2005,Proportion of population using basic sanitation services [1.4.1],,Urban,Percent,41.74582
2006,Proportion of population using basic sanitation services [1.4.1],,Urban,Percent,43.67708
2007,Proportion of population using basic sanitation services [1.4.1],,Urban,Percent,45.64374
2008,Proportion of population using basic sanitation services [1.4.1],,Urban,Percent,47.64578
2009,Proportion of population using basic sanitation services [1.4.1],,Urban,Percent,49.68322
2010,Proportion of population using basic sanitation services [1.4.1],,Urban,Percent,51.75606
2011,Proportion of population using basic sanitation services [1.4.1],,Urban,Percent,53.86428
2012,Proportion of population using basic sanitation services [1.4.1],,Urban,Percent,56.0079
2013,Proportion of population using basic sanitation services [1.4.1],,Urban,Percent,58.18691
2014,Proportion of population using basic sanitation services [1.4.1],,Urban,Percent,60.40132
2015,Proportion of population using basic sanitation services [1.4.1],,Urban,Percent,62.65111
2016,Proportion of population using basic sanitation services [1.4.1],,Urban,Percent,64.9363
2017,Proportion of population using basic sanitation services [1.4.1],,Urban,Percent,67.25689
