Year,SERIES,Reference area,Age,UNIT_MEASURE,Value
2019,3.8.1 Coverage of essential health services _ g. Percent of population aged 15 years and above with raised blood pressure who are currently taking medication,,,Percent,38.75
2020,3.8.1 Coverage of essential health services _ g. Percent of population aged 15 years and above with raised blood pressure who are currently taking medication,,,Percent,50.0
2022,3.8.1 Coverage of essential health services _ g. Percent of population aged 15 years and above with raised blood pressure who are currently taking medication,,,Percent,60.0
2015,3.8.1 Coverage of essential health services _ h. Percent of population aged 15 years and above with raised blood glucose who are currently under medication,,,Percent,25.0
2018,3.8.1 Coverage of essential health services _ h. Percent of population aged 15 years and above with raised blood glucose who are currently under medication,,,Percent,33.076923
2019,3.8.1 Coverage of essential health services _ h. Percent of population aged 15 years and above with raised blood glucose who are currently under medication,,,Percent,38.461538
2020,3.8.1 Coverage of essential health services _ h. Percent of population aged 15 years and above with raised blood glucose who are currently under medication,,,Percent,46.538462
2022,3.8.1 Coverage of essential health services _ h. Percent of population aged 15 years and above with raised blood glucose who are currently under medication,,,Percent,60.0
2015,3.8.1 Coverage of essential health services _ i. Percent of households within 30 minutes travel time to health facility,,,Percent,61.8
2018,3.8.1 Coverage of essential health services _ i. Percent of households within 30 minutes travel time to health facility,,,Percent,69.3
2019,3.8.1 Coverage of essential health services _ i. Percent of households within 30 minutes travel time to health facility,,,Percent,75.0
2020,3.8.1 Coverage of essential health services _ i. Percent of households within 30 minutes travel time to health facility,,,Percent,80.6
2022,3.8.1 Coverage of essential health services _ i. Percent of households within 30 minutes travel time to health facility,,,Percent,90.0
2015,3.8.1 Coverage of essential health services _ j. Percent of poor people enrolled in health insurance,,,Percent,0.0
2018,3.8.1 Coverage of essential health services _ j. Percent of poor people enrolled in health insurance,,,Percent,20.0
2019,3.8.1 Coverage of essential health services _ j. Percent of poor people enrolled in health insurance,,,Percent,50.0
2020,3.8.1 Coverage of essential health services _ j. Percent of poor people enrolled in health insurance,,,Percent,75.0
2022,3.8.1 Coverage of essential health services _ j. Percent of poor people enrolled in health insurance,,,Percent,100.0
2014,Percentage of women age 15-49 years with a live birth in the last 2 years who during the pregnancy of the most recent live birth were attended at least once by skilled health personnel,,15 to 49 years old,Percent,68.3
2019,Percentage of women age 15-49 years with a live birth in the last 2 years who during the pregnancy of the most recent live birth were attended at least once by skilled health personnel,,15 to 49 years old,Percent,88.8
2019,Percentage of women age 15-49 years with a live birth in the last 2 years who during the pregnancy of the most recent live birth were attended at least once by skilled health personnel,Province 1,15 to 49 years old,Percent,84.2
2019,Percentage of women age 15-49 years with a live birth in the last 2 years who during the pregnancy of the most recent live birth were attended at least once by skilled health personnel,Madhesh,15 to 49 years old,Percent,86.1
2019,Percentage of women age 15-49 years with a live birth in the last 2 years who during the pregnancy of the most recent live birth were attended at least once by skilled health personnel,Bagmati,15 to 49 years old,Percent,90.6
2019,Percentage of women age 15-49 years with a live birth in the last 2 years who during the pregnancy of the most recent live birth were attended at least once by skilled health personnel,Gandaki,15 to 49 years old,Percent,86.9
2019,Percentage of women age 15-49 years with a live birth in the last 2 years who during the pregnancy of the most recent live birth were attended at least once by skilled health personnel,Lumbini,15 to 49 years old,Percent,92.4
2019,Percentage of women age 15-49 years with a live birth in the last 2 years who during the pregnancy of the most recent live birth were attended at least once by skilled health personnel,Karnali,15 to 49 years old,Percent,85.1
2019,Percentage of women age 15-49 years with a live birth in the last 2 years who during the pregnancy of the most recent live birth were attended at least once by skilled health personnel,Sudurpashchim,15 to 49 years old,Percent,95.9
2014,Percentage of women age 15-49 years with a live birth in the last 2 years who during the pregnancy of the most recent live birth were attended at least four times by any provider,,15 to 49 years old,Percent,59.5
2019,Percentage of women age 15-49 years with a live birth in the last 2 years who during the pregnancy of the most recent live birth were attended at least four times by any provider,,15 to 49 years old,Percent,77.8
2019,Percentage of women age 15-49 years with a live birth in the last 2 years who during the pregnancy of the most recent live birth were attended at least four times by any provider,Province 1,15 to 49 years old,Percent,80.3
2019,Percentage of women age 15-49 years with a live birth in the last 2 years who during the pregnancy of the most recent live birth were attended at least four times by any provider,Madhesh,15 to 49 years old,Percent,56.8
2019,Percentage of women age 15-49 years with a live birth in the last 2 years who during the pregnancy of the most recent live birth were attended at least four times by any provider,Bagmati,15 to 49 years old,Percent,87.2
2019,Percentage of women age 15-49 years with a live birth in the last 2 years who during the pregnancy of the most recent live birth were attended at least four times by any provider,Gandaki,15 to 49 years old,Percent,91.2
2019,Percentage of women age 15-49 years with a live birth in the last 2 years who during the pregnancy of the most recent live birth were attended at least four times by any provider,Lumbini,15 to 49 years old,Percent,80.7
2019,Percentage of women age 15-49 years with a live birth in the last 2 years who during the pregnancy of the most recent live birth were attended at least four times by any provider,Karnali,15 to 49 years old,Percent,72.3
2019,Percentage of women age 15-49 years with a live birth in the last 2 years who during the pregnancy of the most recent live birth were attended at least four times by any provider,Sudurpashchim,15 to 49 years old,Percent,88.0
2019,Percentage of women age 15-49 years with a live birth in the last 2 years who during the pregnancy of the most recent live birth were attended at least eight times by any provider,,15 to 49 years old,Percent,5.4
2019,Percentage of women age 15-49 years with a live birth in the last 2 years who during the pregnancy of the most recent live birth were attended at least eight times by any provider,Province 1,15 to 49 years old,Percent,3.9
2019,Percentage of women age 15-49 years with a live birth in the last 2 years who during the pregnancy of the most recent live birth were attended at least eight times by any provider,Madhesh,15 to 49 years old,Percent,5.3
2019,Percentage of women age 15-49 years with a live birth in the last 2 years who during the pregnancy of the most recent live birth were attended at least eight times by any provider,Bagmati,15 to 49 years old,Percent,15.6
2019,Percentage of women age 15-49 years with a live birth in the last 2 years who during the pregnancy of the most recent live birth were attended at least eight times by any provider,Gandaki,15 to 49 years old,Percent,3.7
2019,Percentage of women age 15-49 years with a live birth in the last 2 years who during the pregnancy of the most recent live birth were attended at least eight times by any provider,Lumbini,15 to 49 years old,Percent,1.4
2019,Percentage of women age 15-49 years with a live birth in the last 2 years who during the pregnancy of the most recent live birth were attended at least eight times by any provider,Karnali,15 to 49 years old,Percent,0.9
2019,Percentage of women age 15-49 years with a live birth in the last 2 years who during the pregnancy of the most recent live birth were attended at least eight times by any provider,Sudurpashchim,15 to 49 years old,Percent,0.0
2014,Percentage of children under age 5 with ARI symptoms in the last 2 weeks for whom advice or treatment was sought from a health facility or provider,,,Percent,50.1
2019,Percentage of children under age 5 with ARI symptoms in the last 2 weeks for whom advice or treatment was sought from a health facility or provider,,,Percent,82.0
