Year,Series,Reference area,Sex,Age,Units,Value
2009,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",,Female,15 to 49 years old,Percent,36.6
2010,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",,Female,15 to 49 years old,Percent,36.1
2011,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",,Female,15 to 49 years old,Percent,35.7
2012,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",,Female,15 to 49 years old,Percent,35.4
2013,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",,Female,15 to 49 years old,Percent,35.2
2014,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",,Female,15 to 49 years old,Percent,35.0
2015,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",,Female,15 to 49 years old,Percent,34.9
2016,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",,Female,15 to 49 years old,Percent,34.9
2017,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",,Female,15 to 49 years old,Percent,35.0
2018,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",,Female,15 to 49 years old,Percent,35.1
2019,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",,Female,15 to 49 years old,Percent,35.4
2000,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",,Female,15 to 49 years old,Percent,51.2
2001,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",,Female,15 to 49 years old,Percent,50.5
2002,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",,Female,15 to 49 years old,Percent,49.8
2003,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",,Female,15 to 49 years old,Percent,49.2
2004,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",,Female,15 to 49 years old,Percent,48.5
2005,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",,Female,15 to 49 years old,Percent,47.9
2006,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",,Female,15 to 49 years old,Percent,47.3
2007,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",,Female,15 to 49 years old,Percent,46.7
2008,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",,Female,15 to 49 years old,Percent,46.2
2009,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",,Female,15 to 49 years old,Percent,45.7
2010,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",,Female,15 to 49 years old,Percent,45.2
2011,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",,Female,15 to 49 years old,Percent,44.8
2012,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",,Female,15 to 49 years old,Percent,44.4
2013,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",,Female,15 to 49 years old,Percent,44.1
2014,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",,Female,15 to 49 years old,Percent,43.7
2015,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",,Female,15 to 49 years old,Percent,43.5
2016,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",,Female,15 to 49 years old,Percent,43.2
2017,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",,Female,15 to 49 years old,Percent,43.0
2018,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",,Female,15 to 49 years old,Percent,42.7
2019,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",,Female,15 to 49 years old,Percent,42.5
