Year,Series,Reference area,Sex,Age,Units,Value
2000,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,under 15 years old,"Per 1,000 uninfected population",0.03
2001,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,under 15 years old,"Per 1,000 uninfected population",0.03
2002,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,under 15 years old,"Per 1,000 uninfected population",0.03
2003,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,under 15 years old,"Per 1,000 uninfected population",0.03
2004,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,under 15 years old,"Per 1,000 uninfected population",0.03
2005,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,under 15 years old,"Per 1,000 uninfected population",0.03
2006,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,under 15 years old,"Per 1,000 uninfected population",0.03
2007,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,under 15 years old,"Per 1,000 uninfected population",0.03
2008,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,under 15 years old,"Per 1,000 uninfected population",0.02
2009,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,under 15 years old,"Per 1,000 uninfected population",0.02
2010,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,under 15 years old,"Per 1,000 uninfected population",0.02
2011,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,under 15 years old,"Per 1,000 uninfected population",0.02
2012,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,under 15 years old,"Per 1,000 uninfected population",0.01
2013,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,under 15 years old,"Per 1,000 uninfected population",0.01
2014,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,under 15 years old,"Per 1,000 uninfected population",0.01
2015,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,under 15 years old,"Per 1,000 uninfected population",0.01
2016,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,under 15 years old,"Per 1,000 uninfected population",0.01
2017,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,under 15 years old,"Per 1,000 uninfected population",0.01
2018,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,under 15 years old,"Per 1,000 uninfected population",0.01
2019,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,under 15 years old,"Per 1,000 uninfected population",0.01
2000,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,15 to 24 years old,"Per 1,000 uninfected population",0.15
2001,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,15 to 24 years old,"Per 1,000 uninfected population",0.14
2002,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,15 to 24 years old,"Per 1,000 uninfected population",0.13
2003,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,15 to 24 years old,"Per 1,000 uninfected population",0.13
2004,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,15 to 24 years old,"Per 1,000 uninfected population",0.12
2005,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,15 to 24 years old,"Per 1,000 uninfected population",0.11
2006,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,15 to 24 years old,"Per 1,000 uninfected population",0.09
2007,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,15 to 24 years old,"Per 1,000 uninfected population",0.08
2008,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,15 to 24 years old,"Per 1,000 uninfected population",0.07
2009,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,15 to 24 years old,"Per 1,000 uninfected population",0.06
2010,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,15 to 24 years old,"Per 1,000 uninfected population",0.06
2011,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,15 to 24 years old,"Per 1,000 uninfected population",0.05
2012,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,15 to 24 years old,"Per 1,000 uninfected population",0.04
2013,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,15 to 24 years old,"Per 1,000 uninfected population",0.04
2014,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,15 to 24 years old,"Per 1,000 uninfected population",0.04
2015,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,15 to 24 years old,"Per 1,000 uninfected population",0.03
2016,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,15 to 24 years old,"Per 1,000 uninfected population",0.03
2017,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,15 to 24 years old,"Per 1,000 uninfected population",0.03
2018,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,15 to 24 years old,"Per 1,000 uninfected population",0.02
2019,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,15 to 24 years old,"Per 1,000 uninfected population",0.02
2000,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,15 to 49 years old,"Per 1,000 uninfected population",0.37
2001,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,15 to 49 years old,"Per 1,000 uninfected population",0.35
2002,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,15 to 49 years old,"Per 1,000 uninfected population",0.34
2003,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,15 to 49 years old,"Per 1,000 uninfected population",0.32
2004,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,15 to 49 years old,"Per 1,000 uninfected population",0.3
2005,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,15 to 49 years old,"Per 1,000 uninfected population",0.28
2006,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,15 to 49 years old,"Per 1,000 uninfected population",0.24
2007,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,15 to 49 years old,"Per 1,000 uninfected population",0.2
2008,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,15 to 49 years old,"Per 1,000 uninfected population",0.18
2009,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,15 to 49 years old,"Per 1,000 uninfected population",0.16
2010,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,15 to 49 years old,"Per 1,000 uninfected population",0.14
2011,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,15 to 49 years old,"Per 1,000 uninfected population",0.12
2012,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,15 to 49 years old,"Per 1,000 uninfected population",0.1
2013,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,15 to 49 years old,"Per 1,000 uninfected population",0.09
2014,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,15 to 49 years old,"Per 1,000 uninfected population",0.08
2015,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,15 to 49 years old,"Per 1,000 uninfected population",0.07
2016,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,15 to 49 years old,"Per 1,000 uninfected population",0.06
2017,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,15 to 49 years old,"Per 1,000 uninfected population",0.06
2018,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,15 to 49 years old,"Per 1,000 uninfected population",0.05
2019,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,,15 to 49 years old,"Per 1,000 uninfected population",0.05
2000,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,,"Per 1,000 uninfected population",0.12
2001,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,,"Per 1,000 uninfected population",0.12
2002,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,,"Per 1,000 uninfected population",0.11
2003,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,,"Per 1,000 uninfected population",0.11
2004,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,,"Per 1,000 uninfected population",0.1
2005,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,,"Per 1,000 uninfected population",0.1
2006,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,,"Per 1,000 uninfected population",0.08
2007,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,,"Per 1,000 uninfected population",0.07
2008,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,,"Per 1,000 uninfected population",0.06
2009,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,,"Per 1,000 uninfected population",0.06
2010,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,,"Per 1,000 uninfected population",0.05
2011,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,,"Per 1,000 uninfected population",0.04
2012,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,,"Per 1,000 uninfected population",0.04
2013,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,,"Per 1,000 uninfected population",0.03
2014,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,,"Per 1,000 uninfected population",0.03
2015,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,,"Per 1,000 uninfected population",0.03
2016,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,,"Per 1,000 uninfected population",0.03
2017,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,,"Per 1,000 uninfected population",0.02
2018,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,,"Per 1,000 uninfected population",0.02
2019,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,,"Per 1,000 uninfected population",0.02
2000,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,50 years old and over,"Per 1,000 uninfected population",0.04
2001,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,50 years old and over,"Per 1,000 uninfected population",0.04
2002,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,50 years old and over,"Per 1,000 uninfected population",0.03
2003,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,50 years old and over,"Per 1,000 uninfected population",0.03
2004,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,50 years old and over,"Per 1,000 uninfected population",0.03
2005,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,50 years old and over,"Per 1,000 uninfected population",0.03
2006,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,50 years old and over,"Per 1,000 uninfected population",0.02
2007,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,50 years old and over,"Per 1,000 uninfected population",0.02
2008,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,50 years old and over,"Per 1,000 uninfected population",0.02
2009,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,50 years old and over,"Per 1,000 uninfected population",0.02
2010,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,50 years old and over,"Per 1,000 uninfected population",0.01
2011,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,50 years old and over,"Per 1,000 uninfected population",0.01
2012,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,50 years old and over,"Per 1,000 uninfected population",0.01
2013,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,50 years old and over,"Per 1,000 uninfected population",0.01
2014,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,50 years old and over,"Per 1,000 uninfected population",0.01
2015,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,50 years old and over,"Per 1,000 uninfected population",0.01
2016,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,50 years old and over,"Per 1,000 uninfected population",0.01
2017,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,50 years old and over,"Per 1,000 uninfected population",0.01
2018,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,50 years old and over,"Per 1,000 uninfected population",0.01
2019,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,50 years old and over,"Per 1,000 uninfected population",0.0
2000,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,15 to 24 years old,"Per 1,000 uninfected population",0.14
2001,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,15 to 24 years old,"Per 1,000 uninfected population",0.13
2002,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,15 to 24 years old,"Per 1,000 uninfected population",0.13
2003,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,15 to 24 years old,"Per 1,000 uninfected population",0.12
2004,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,15 to 24 years old,"Per 1,000 uninfected population",0.11
2005,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,15 to 24 years old,"Per 1,000 uninfected population",0.11
2006,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,15 to 24 years old,"Per 1,000 uninfected population",0.09
2007,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,15 to 24 years old,"Per 1,000 uninfected population",0.08
2008,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,15 to 24 years old,"Per 1,000 uninfected population",0.07
2009,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,15 to 24 years old,"Per 1,000 uninfected population",0.06
2010,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,15 to 24 years old,"Per 1,000 uninfected population",0.05
2011,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,15 to 24 years old,"Per 1,000 uninfected population",0.05
2012,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,15 to 24 years old,"Per 1,000 uninfected population",0.04
2013,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,15 to 24 years old,"Per 1,000 uninfected population",0.04
2014,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,15 to 24 years old,"Per 1,000 uninfected population",0.03
2015,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,15 to 24 years old,"Per 1,000 uninfected population",0.03
2016,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,15 to 24 years old,"Per 1,000 uninfected population",0.03
2017,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,15 to 24 years old,"Per 1,000 uninfected population",0.02
2018,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,15 to 24 years old,"Per 1,000 uninfected population",0.02
2019,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,15 to 24 years old,"Per 1,000 uninfected population",0.02
2000,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,15 to 49 years old,"Per 1,000 uninfected population",0.22
2001,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,15 to 49 years old,"Per 1,000 uninfected population",0.21
2002,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,15 to 49 years old,"Per 1,000 uninfected population",0.2
2003,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,15 to 49 years old,"Per 1,000 uninfected population",0.19
2004,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,15 to 49 years old,"Per 1,000 uninfected population",0.18
2005,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,15 to 49 years old,"Per 1,000 uninfected population",0.17
2006,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,15 to 49 years old,"Per 1,000 uninfected population",0.14
2007,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,15 to 49 years old,"Per 1,000 uninfected population",0.12
2008,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,15 to 49 years old,"Per 1,000 uninfected population",0.11
2009,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,15 to 49 years old,"Per 1,000 uninfected population",0.1
2010,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,15 to 49 years old,"Per 1,000 uninfected population",0.08
2011,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,15 to 49 years old,"Per 1,000 uninfected population",0.07
2012,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,15 to 49 years old,"Per 1,000 uninfected population",0.06
2013,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,15 to 49 years old,"Per 1,000 uninfected population",0.05
2014,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,15 to 49 years old,"Per 1,000 uninfected population",0.05
2015,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,15 to 49 years old,"Per 1,000 uninfected population",0.05
2016,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,15 to 49 years old,"Per 1,000 uninfected population",0.04
2017,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,15 to 49 years old,"Per 1,000 uninfected population",0.04
2018,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,15 to 49 years old,"Per 1,000 uninfected population",0.03
2019,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Female,15 to 49 years old,"Per 1,000 uninfected population",0.03
2000,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,,"Per 1,000 uninfected population",0.28
2001,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,,"Per 1,000 uninfected population",0.26
2002,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,,"Per 1,000 uninfected population",0.25
2003,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,,"Per 1,000 uninfected population",0.24
2004,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,,"Per 1,000 uninfected population",0.22
2005,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,,"Per 1,000 uninfected population",0.21
2006,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,,"Per 1,000 uninfected population",0.18
2007,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,,"Per 1,000 uninfected population",0.15
2008,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,,"Per 1,000 uninfected population",0.14
2009,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,,"Per 1,000 uninfected population",0.12
2010,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,,"Per 1,000 uninfected population",0.11
2011,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,,"Per 1,000 uninfected population",0.09
2012,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,,"Per 1,000 uninfected population",0.08
2013,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,,"Per 1,000 uninfected population",0.07
2014,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,,"Per 1,000 uninfected population",0.06
2015,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,,"Per 1,000 uninfected population",0.06
2016,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,,"Per 1,000 uninfected population",0.05
2017,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,,"Per 1,000 uninfected population",0.05
2018,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,,"Per 1,000 uninfected population",0.04
2019,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,,"Per 1,000 uninfected population",0.04
2000,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,50 years old and over,"Per 1,000 uninfected population",0.12
2001,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,50 years old and over,"Per 1,000 uninfected population",0.11
2002,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,50 years old and over,"Per 1,000 uninfected population",0.11
2003,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,50 years old and over,"Per 1,000 uninfected population",0.1
2004,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,50 years old and over,"Per 1,000 uninfected population",0.09
2005,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,50 years old and over,"Per 1,000 uninfected population",0.08
2006,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,50 years old and over,"Per 1,000 uninfected population",0.07
2007,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,50 years old and over,"Per 1,000 uninfected population",0.06
2008,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,50 years old and over,"Per 1,000 uninfected population",0.05
2009,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,50 years old and over,"Per 1,000 uninfected population",0.05
2010,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,50 years old and over,"Per 1,000 uninfected population",0.04
2011,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,50 years old and over,"Per 1,000 uninfected population",0.04
2012,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,50 years old and over,"Per 1,000 uninfected population",0.03
2013,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,50 years old and over,"Per 1,000 uninfected population",0.03
2014,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,50 years old and over,"Per 1,000 uninfected population",0.03
2015,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,50 years old and over,"Per 1,000 uninfected population",0.03
2016,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,50 years old and over,"Per 1,000 uninfected population",0.02
2017,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,50 years old and over,"Per 1,000 uninfected population",0.02
2018,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,50 years old and over,"Per 1,000 uninfected population",0.02
2019,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,50 years old and over,"Per 1,000 uninfected population",0.02
2000,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,15 to 24 years old,"Per 1,000 uninfected population",0.16
2001,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,15 to 24 years old,"Per 1,000 uninfected population",0.14
2002,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,15 to 24 years old,"Per 1,000 uninfected population",0.14
2003,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,15 to 24 years old,"Per 1,000 uninfected population",0.13
2004,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,15 to 24 years old,"Per 1,000 uninfected population",0.12
2005,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,15 to 24 years old,"Per 1,000 uninfected population",0.11
2006,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,15 to 24 years old,"Per 1,000 uninfected population",0.1
2007,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,15 to 24 years old,"Per 1,000 uninfected population",0.08
2008,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,15 to 24 years old,"Per 1,000 uninfected population",0.07
2009,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,15 to 24 years old,"Per 1,000 uninfected population",0.07
2010,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,15 to 24 years old,"Per 1,000 uninfected population",0.06
2011,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,15 to 24 years old,"Per 1,000 uninfected population",0.05
2012,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,15 to 24 years old,"Per 1,000 uninfected population",0.05
2013,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Male,15 to 24 years old,"Per 1,000 uninfected population",0.04
